Method,Problem_Size,Uncertainty_Set,Radius_P,PoR_Percent
budgeted,20,L1Ball,0.1,0.19500199738886395
drpg,20,L1Ball,0.1,0.2328564220100168
scenario,20,L1Ball,0.15,0.1632086139272966
budgeted,20,L1Ball,0.15,0.21541409944491036
drpg,20,L1Ball,0.15,0.6338114996950688
scenario,20,L1Ball,0.15,0.3993210199534161
budgeted,20,L1Ball,0.15,0.47251204299287214
drpg,20,L1Ball,0.15,0.7270071641504924
scenario,20,L1Ball,0.15,0.13378778497860214
budgeted,20,L1Ball,0.15,0.263826945175516
drpg,20,L1Ball,0.15,0.3844850188739797
scenario,20,L1Ball,0.2,0.21194968059991748
budgeted,20,L1Ball,0.2,0.27176987595927055
drpg,20,L1Ball,0.2,0.9213567928636033
scenario,20,L1Ball,0.2,0.5109397526210124
budgeted,20,L1Ball,0.2,0.6072390135932233
drpg,20,L1Ball,0.2,0.9933031476412039
scenario,20,L1Ball,0.2,0.17725382535047465
budgeted,20,L1Ball,0.2,0.3161851728978925
drpg,20,L1Ball,0.2,0.5304464760241997
scenario,20,LinfBox,0.1,0.1542738316757888
drpg,20,LinfBox,0.1,0.6356198269686325
scenario,20,LinfBox,0.1,0.3759186094222547
drpg,20,LinfBox,0.1,0.7614125386615443
scenario,20,LinfBox,0.1,0.1402173391984883
drpg,20,LinfBox,0.1,0.32262239122154557
scenario,20,LinfBox,0.15,0.21348714489868775
drpg,20,LinfBox,0.15,1.10324603353592
scenario,20,LinfBox,0.15,0.5230527104695839
drpg,20,LinfBox,0.15,1.1817647000080325
scenario,20,LinfBox,0.15,0.20746361561832455
drpg,20,LinfBox,0.15,0.5322858662885996
scenario,20,LinfBox,0.2,0.2602427800366494
drpg,20,LinfBox,0.2,1.550818727018391
scenario,20,LinfBox,0.2,0.6707128985049928
drpg,20,LinfBox,0.2,1.5918238482345117
scenario,20,LinfBox,0.2,0.272976225541911
drpg,20,LinfBox,0.2,0.7476365873462932
