Method,Problem_Size,Uncertainty_Set,Radius_P,PoR_Percent
scenario,20,LinfBox,0.15,0.00558408989728824
drpg,20,LinfBox,0.15,0.010520283208609739
scenario,20,LinfBox,0.15,0.01261405271192496
drpg,20,LinfBox,0.15,0.0192948319191046
scenario,20,LinfBox,0.15,0.003984997625197589
drpg,20,LinfBox,0.15,0.005391682949453709
scenario,20,LinfBox,0.2,0.007435282712978781
drpg,20,LinfBox,0.2,0.014035477460829286
scenario,20,LinfBox,0.2,0.016805056760772628
drpg,20,LinfBox,0.2,0.025718515715531257
scenario,20,LinfBox,0.2,0.005304428717378751
drpg,20,LinfBox,0.2,0.007175525576870921
