experiment_id,problem_size,uncertainty_set,radius_p,method,por_percent,worst_protection_percent,var_reduction_percent,nominal_mean,robust_mean,nominal_worst,robust_worst,nominal_std,robust_std
10,5,L1Ball,0.1,scenario,0.00034601618679907836,-2.8215932385126917e-05,0.24288895828549145,163146.33863878055,163145.7741260407,163124.34811178083,163124.30208472506,13.126542796916514,13.094659873858184
10,5,L1Ball,0.1,drpg,0.0004125984314488732,-9.207140509463402e-05,0.24946261781828208,163146.33863878055,163145.66549954636,163124.34811178083,163124.19792090147,13.126542796916514,13.093796979626289
11,5,L1Ball,0.1,scenario,2.588981288875235e-06,7.215708731092084e-05,1.5013148903286975,146024.2209930647,146024.21721252493,146010.40849018504,146010.51384704298,6.352178233799929,6.256812036115672
12,5,L1Ball,0.1,scenario,-9.45353365040469e-05,-2.853467674971352e-07,-5.435168011671523,160686.32329265607,160686.47519801251,160660.4411635105,160660.44070507112,11.664185761388906,12.29815385471386
12,5,L1Ball,0.1,drpg,7.170782835015397e-05,-0.00015416222506494436,-5.375209404018428,160686.32329265607,160686.20806798319,160660.4411635105,160660.1934857996,11.664185761388906,12.29116017133726
13,5,L1Ball,0.15,scenario,0.00028736197843884175,6.817441464585685e-05,1.2104779233884484,163146.32996917676,163145.8611486552,163113.82922730973,163113.940429208,20.015635884499744,19.77335103089206
13,5,L1Ball,0.15,drpg,0.0004207537301986817,-5.932034889347637e-05,1.2211384784320642,163146.32996917676,163145.64352490773,163113.82922730973,163113.73246761714,20.015635884499744,19.77121725301126
14,5,L1Ball,0.15,scenario,-0.0006013787534988171,6.113704542607396e-05,4.038639235174258,146023.76505971752,146024.64321561565,146003.5324383749,146003.62170062086,9.823043026636583,9.426325756874789
15,5,L1Ball,0.15,scenario,-0.00018321455045114393,1.532568477348954e-05,1.552715893195923,160686.4834393338,160686.77784035206,160647.45322413146,160647.47784445374,18.190486263490723,17.90803969222788
15,5,L1Ball,0.15,drpg,0.00014752755971335457,-0.0002875885600570949,1.6319768125780465,160686.4834393338,160686.246382486,160647.45322413146,160646.99122043396,18.190486263490723,17.89362174557536
